hours,dH_curl,dH_roll
-153.0,-0.244247,-0.374916
-152.0,0.031016,-0.285736
-151.0,0.024117,-0.226360
-150.0,-0.009370,-0.156910
-149.0,-0.014588,-0.101214
-148.0,0.016459,-0.049208
-147.0,0.015353,-0.017014
-146.0,-0.022694,-0.001002
-145.0,0.037482,-0.000175
-144.0,-0.006048,-0.003649
-143.0,0.005907,0.001538
-142.0,-0.037557,-0.068096
-141.0,-0.052099,-0.167650
-140.0,0.040938,-0.286307
-139.0,-0.017575,-0.458897
-138.0,0.052872,-0.669110
-137.0,-0.850186,-0.865764
-136.0,-1.178196,-1.023576
-135.0,-1.408526,-1.144938
-134.0,-2.093772,-1.235737
-133.0,-2.485083,-1.307592
-132.0,-2.365892,-1.451900
-131.0,-1.887835,-1.654820
-130.0,-1.493898,-1.766903
-129.0,-1.141689,-1.860968
-128.0,-0.821324,-1.941909
-127.0,-1.749275,-1.899579
-126.0,-2.382162,-1.770869
-125.0,-2.195181,-1.621795
-124.0,-2.306983,-1.500500
-123.0,-2.379814,-1.405146
-122.0,-1.585809,-1.314316
-121.0,-0.940567,-1.255564
-120.0,-0.577008,-1.130099
-119.0,-0.432286,-0.973626
-118.0,-0.349647,-0.891678
-117.0,-0.051734,-0.855552
-116.0,-0.116303,-0.806124
-115.0,-0.243695,-0.754090
-114.0,-0.504482,-0.786975
-113.0,-1.211810,-0.836374
-112.0,-1.873472,-0.843204
-111.0,-1.786674,-0.766149
-110.0,-0.961407,-0.844129
-109.0,-1.335182,-1.032655
-108.0,-1.169799,-1.349560
-107.0,-0.514238,-1.698221
-106.0,0.575012,-1.925216
-105.0,-0.987500,-1.996141
-104.0,-2.378613,-1.983671
-103.0,-4.046559,-1.951374
-102.0,-4.688410,-1.858291
-101.0,-3.935745,-1.773057
-100.0,-2.724570,-1.758294
-99.0,-1.637044,-1.844358
-98.0,-0.573836,-1.809461
-97.0,-0.218182,-1.660740
-96.0,-0.146999,-1.370091
-95.0,-0.337084,-1.025171
-94.0,-0.457750,-0.742025
-93.0,-0.568742,-0.561620
-92.0,-0.593952,-0.470348
-91.0,-0.558773,-0.460963
-90.0,-0.549367,-0.424819
-89.0,-0.538000,-0.399365
-88.0,-0.559704,-0.356463
-87.0,-0.541788,-0.301000
-86.0,-0.461211,-0.232538
-85.0,0.215541,-0.177710
-84.0,0.158451,-0.151030
-83.0,0.177738,-0.140188
-82.0,0.207809,-0.138812
-81.0,0.252798,-0.125204
-80.0,0.063990,-0.117042
-79.0,-0.238618,-0.149849
-78.0,-0.419268,-0.205743
