hours,dH_curl,dH_roll
-38.0,-0.830752,-1.705529
-37.0,-0.818527,-1.881740
-36.0,-2.470809,-1.965551
-35.0,-3.973623,-1.949824
-34.0,-4.570777,-1.926935
-33.0,-3.924104,-1.899363
-32.0,-2.471693,-1.872611
-31.0,-1.578920,-1.839173
-30.0,-0.452870,-1.812995
-29.0,-0.469449,-1.669828
-28.0,-0.464585,-1.376058
-27.0,-0.445217,-1.030737
-26.0,-0.429502,-0.746372
-25.0,-0.504390,-0.597997
-24.0,-0.752800,-0.530081
-23.0,-0.448384,-0.555080
-22.0,-0.426930,-0.573596
-21.0,-0.511724,-0.591029
