hours,dH_curl,dH_roll
115.0,0.313949,0.016688
116.0,0.167345,-0.023158
117.0,-0.020469,-0.062916
118.0,-0.113945,-0.108897
119.0,-0.141109,-0.168213
120.0,-0.333467,-0.260927
121.0,-0.521948,-0.360811
122.0,-0.676766,-0.449606
123.0,-0.744608,-0.520181
124.0,-0.739143,-0.581238
125.0,-0.785627,-0.618730
126.0,-0.733944,-0.644325
127.0,-0.751589,-0.635565
128.0,-0.679559,-0.602067
129.0,-0.753153,-0.557784
130.0,-0.563852,-0.505797
131.0,-0.448242,-0.457140
132.0,-0.228351,-0.404463
133.0,-0.119970,-0.357018
134.0,-0.145374,-0.351648
135.0,-0.120763,-0.370917
136.0,-0.155253,-0.389564
137.0,-0.153501,-0.415247
138.0,-0.164604,-0.480398
139.0,-0.687152,-0.461369
140.0,-0.910792,-0.451371
141.0,-0.976912,-0.439257
142.0,-0.872050,-0.429193
143.0,-1.230055,-0.416256
