hours,dH_curl,dH_roll
139.0,0.292937,0.101304
140.0,0.240221,0.061377
141.0,0.131073,0.016903
142.0,-0.060549,-0.051417
143.0,-0.621961,-0.131525
144.0,-0.089014,-0.240676
145.0,-0.705284,-0.329325
146.0,-0.564333,-0.403215
147.0,-0.535614,-0.471111
148.0,-0.644728,-0.552635
149.0,-0.743195,-0.629639
150.0,-0.651458,-0.698593
151.0,-0.593733,-0.805212
152.0,-0.574533,-0.835478
153.0,-0.847222,-0.863681
154.0,-0.984595,-0.893340
155.0,-1.449405,-0.885389
156.0,-1.368443,-0.891520
157.0,-1.068484,-0.908849
158.0,-0.902764,-0.941317
159.0,-0.891520,-0.983961
160.0,-0.549313,-1.008230
161.0,-0.816771,-1.069642
162.0,-0.859400,-1.095225
163.0,-0.983359,-1.123277
164.0,-1.086261,-1.160934
165.0,-1.138443,-1.200207
166.0,-1.721541,-1.241691
167.0,-1.756404,-1.295164
168.0,-1.705066,-1.333789
169.0,-1.520362,-1.296325
170.0,-1.374047,-1.242739
171.0,-1.389325,-1.166915
172.0,-1.190983,-1.086812
173.0,-1.280278,-0.958160
558.0,-0.409837,-0.829183
559.0,-0.340322,-0.733415
560.0,-0.176368,-0.645169
561.0,-0.177207,-0.561846
562.0,-0.177717,-0.452057
563.0,-0.208682,-0.361987
564.0,-0.555851,-0.293851
565.0,-0.461408,-0.304749
566.0,-0.374179,-0.328079
567.0,-0.071849,-0.391358
568.0,-0.110147,-0.458749
569.0,-0.462643,-0.535308
570.0,-0.540620,-0.608049
571.0,-0.620279,-0.620266
572.0,-0.935715,-0.638685
573.0,-0.985896,-0.675411
574.0,-1.096423,-0.735516
575.0,-1.081575,-0.749902
576.0,-0.702464,-0.713211
577.0,-0.682436,-0.651737
578.0,-0.814885,-0.592348
579.0,-0.793112,-0.513853
580.0,-0.282777,-0.431033
581.0,-0.022349,-0.336005
582.0,0.197062,-0.241718
583.0,0.092389,-0.197818
584.0,0.006227,-0.158566
585.0,0.007947,-0.092721
586.0,0.043913,-0.020761
587.0,0.049870,-0.021734
588.0,-0.175669,-0.016987
589.0,-0.211412,-0.054986
590.0,-0.024735,-0.082700
591.0,0.070398,-0.088060
592.0,-0.294450,-0.117026
593.0,0.034620,-0.156653
594.0,-0.258933,-0.186135
595.0,-0.240176,-0.163667
596.0,-0.058093,-0.128975
597.0,-0.339638,-0.174906
598.0,-0.431622,-0.230644
599.0,-0.303908,-0.246338
600.0,0.093939,-0.244622
601.0,0.204893,-0.224259
602.0,-0.575896,-0.200037
603.0,-0.598464,-0.183625
604.0,-0.482780,-0.201548
605.0,0.055211,-0.131060
606.0,-0.014574,-0.098254
607.0,0.050484,-0.098366
608.0,0.138849,-0.136586
609.0,-0.554710,-0.095568
610.0,0.414234,-0.047187
611.0,0.089768,-0.014047
612.0,0.092593,-0.027356
613.0,-0.253746,-0.027884
614.0,-0.083683,-0.033616
615.0,-0.017886,-0.063715
616.0,-0.085098,-0.040879
617.0,-0.104506,-0.079316
618.0,-0.020903,-0.088230
619.0,-0.018306,-0.128046
620.0,-0.222338,-0.149127
621.0,-0.280673,-0.189716
622.0,-0.047009,-0.236221
623.0,-0.017201,-0.265269
624.0,-0.385198,-0.284308
625.0,-0.506723,-0.306549
626.0,-0.570749,-0.326805
627.0,-0.575949,-0.329013
628.0,-0.433668,-0.324630
629.0,-0.332974,-0.339047
630.0,-0.287803,-0.352918
631.0,-0.261376,-0.332698
632.0,-0.248836,-0.302803
633.0,-0.228070,-0.266180
634.0,-0.220013,-0.226648
635.0,-0.183660,-0.202044
636.0,-0.142555,-0.166802
637.0,-0.147976,-0.151975
638.0,-0.131272,-0.142581
639.0,-0.101576,-0.141865
640.0,-0.138409,-0.133959
641.0,0.089918,-0.125826
642.0,-0.109871,-0.137882
643.0,-0.148652,-0.154586
644.0,-0.240245,-0.188331
645.0,-0.133196,-0.241711
646.0,-0.122416,-0.308673
647.0,-0.328329,-0.363270
648.0,-0.343004,-0.425053
649.0,-0.552918,-0.463252
650.0,-0.771834,-0.468199
651.0,-0.905123,-0.472896
652.0,-0.793568,-0.510723
653.0,-0.651485,-0.555906
654.0,-0.568256,-0.581475
655.0,-0.208019,-0.595702
656.0,-0.296599,-0.558981
657.0,-0.587121,-0.506190
658.0,-0.664612,-0.487597
659.0,-0.635161,-0.419011
660.0,-0.513732,-0.396916
661.0,-0.112266,-0.391409
662.0,-0.138338,-0.431375
663.0,-0.682010,-0.462743
664.0,0.029468,-0.472994
665.0,-0.386342,-0.492046
666.0,-0.502175,-0.399342
667.0,-0.687608,-0.402014
668.0,-0.673019,-0.377374
669.0,-0.710131,-0.368780
670.0,-0.893240,-0.314826
671.0,0.477284,-0.314544
672.0,-0.545793,-0.283262
673.0,0.183421,-0.251118
674.0,-0.035214,-0.206959
675.0,-0.034560,-0.163172
676.0,0.032844,-0.119623
677.0,-0.010950,-0.066464
678.0,-0.116452,-0.125151
679.0,-0.157694,-0.099920
680.0,-0.147578,-0.212008
681.0,-0.187542,-0.315795
682.0,-0.255337,-0.441431
683.0,-0.226956,-0.551130
684.0,-0.243022,-0.636616
